Frequency,Channel A,Channel B
(ms),(V),(V)

7.03999982,-0.52792810,-5.29712100
7.05999982,-0.52792810,-5.29712100
7.07999982,-0.53580220,-5.37616800
7.09999982,-0.53580220,-5.37616800
7.11999982,-0.53580220,-5.37616800
7.13999982,-0.53580220,-5.37616800
7.15999982,-0.53580220,-5.37616800
7.17999982,-0.53580220,-5.45521700
7.19999982,-0.53580220,-5.45521700
7.21999982,-0.53580220,-5.45521700
7.23999982,-0.53580220,-5.45521700
7.25999982,-0.53580220,-5.45521700
7.27999982,-0.54367610,-5.45521700
7.29999982,-0.53580220,-5.45521700
7.31999982,-0.53580220,-5.53426500
7.33999981,-0.53580220,-5.53426500
7.35999981,-0.53580220,-5.53426500
7.37999981,-0.53580220,-5.53426500
7.39999981,-0.53580220,-5.53426500
7.41999981,-0.53580220,-5.53426500
7.43999981,-0.53580220,-5.53426500
7.45999981,-0.53580220,-5.53426500
7.47999981,-0.54367610,-5.53426500
7.49999981,-0.54367610,-5.53426500
7.51999981,-0.53580220,-5.53426500
7.53999981,-0.54367610,-5.61331200
7.55999981,-0.54367610,-5.61331200
7.57999981,-0.54367610,-5.61331200
7.59999981,-0.54367610,-5.61331200
7.61999981,-0.53580220,-5.61331200
7.63999981,-0.53580220,-5.61331200
7.65999981,-0.54367610,-5.61331200
7.67999981,-0.54367610,-5.61331200
7.69999981,-0.54367610,-5.69236000
7.71999980,-0.54367610,-5.61331200
7.73999980,-0.54367610,-5.61331200
7.75999980,-0.54367610,-5.61331200
7.77999980,-0.54367610,-5.61331200
7.79999980,-0.54367610,-5.69236000
7.81999980,-0.54367610,-5.69236000
7.83999980,-0.54367610,-5.61331200
7.85999980,-0.54367610,-5.61331200
7.87999980,-0.54367610,-5.69236000
7.89999980,-0.54367610,-5.69236000
7.91999980,-0.54367610,-5.61331200
7.93999980,-0.54367610,-5.69236000
7.95999980,-0.54367610,-5.69236000
7.97999980,-0.54367610,-5.61331200
7.99999980,-0.54367610,-5.69236000
8.01999980,-0.54367610,-5.69236000
8.03999980,-0.54367610,-5.69236000
8.05999980,-0.54367610,-5.69236000
8.07999980,-0.54367610,-5.69236000
8.09999980,-0.54367610,-5.69236000
8.11999979,-0.54367610,-5.69236000
8.13999979,-0.54367610,-5.69236000
8.15999979,-0.54367610,-5.69236000
8.17999979,-0.54367610,-5.69236000
8.19999979,-0.54367610,-5.69236000
8.21999979,-0.54367610,-5.69236000
8.23999979,-0.54367610,-5.69236000
8.25999979,-0.54367610,-5.69236000
8.27999979,-0.54367610,-5.69236000
8.29999979,-0.54367610,-5.69236000
8.31999979,-0.54367610,-5.69236000
8.33999979,-0.54367610,-5.77140800
8.35999979,-0.54367610,-5.69236000
8.37999979,-0.54367610,-5.69236000
8.39999979,-0.54367610,-5.77140800
