Frequency,Channel A,Channel B
(ms),(mV),(V)

6.39999984,315.25280000,0.47428640
6.41999984,311.31580000,0.39523870
6.43999984,311.31580000,0.39523870
6.45999984,307.36340000,0.31619100
6.47999984,307.36340000,0.31619100
6.49999984,307.36340000,0.31619100
6.51999984,303.42640000,0.23714320
6.53999983,303.42640000,0.23714320
6.55999983,299.48940000,0.15809550
6.57999983,299.48940000,0.15809550
6.59999983,295.55240000,0.07904774
6.61999983,291.60000000,0.15809550
6.63999983,287.66300000,0.07904774
6.65999983,283.72600000,0.07904774
6.67999983,283.72600000,0.00000000
6.69999983,275.83660000,0.00000000
6.71999983,267.96260000,0.00000000
6.73999983,264.02560000,-0.07904774
6.75999983,260.07320000,-0.07904774
6.77999983,256.13620000,-0.07904774
6.79999983,252.19920000,-0.07904774
6.81999983,244.32520000,-0.07904774
6.83999983,240.37280000,-0.15809550
6.85999983,228.56180000,-0.15809550
6.87999983,232.49880000,-0.15809550
6.89999983,220.67230000,-0.15809550
6.91999983,216.73540000,-0.15809550
6.93999982,204.90900000,-0.15809550
6.95999982,197.03490000,-0.23714320
6.97999982,189.14550000,-0.23714320
6.99999982,189.14550000,-0.23714320
7.01999982,177.31910000,-0.31619100
7.03999982,169.44510000,-0.31619100
7.05999982,161.55570000,-0.31619100
7.07999982,153.68170000,-0.39523870
7.09999982,145.79230000,-0.39523870
7.11999982,133.98130000,-0.39523870
7.13999982,130.02890000,-0.39523870
7.15999982,118.21790000,-0.39523870
7.17999982,114.28090000,-0.47428640
7.19999982,102.45450000,-0.47428640
7.21999982,94.56508000,-0.47428640
7.23999982,82.75406000,-0.47428640
7.25999982,74.86466000,-0.47428640
7.27999982,63.03826000,-0.55333420
7.29999982,55.16425000,-0.55333420
7.31999982,47.27485000,-0.55333420
7.33999981,35.46383000,-0.63238190
7.35999981,31.51144000,-0.63238190
7.37999981,23.63742000,-0.71142970
7.39999981,15.74803000,-0.71142970
7.41999981,3.93700800,-0.79047740
7.43999981,-3.93700800,-0.79047740
7.45999981,-7.87401500,-0.86952510
7.47999981,-11.81102000,-0.86952510
